SaleID,price
200000,1281.7491881867552
200001,1893.6226872940308
200002,6875.158122193668
200003,1112.121860666816
200004,1926.4320140378316
200005,1193.329831027447
200006,451.87144204474083
200007,3304.956244390529
200008,12558.535385216474
200009,603.3756815377676
200010,592.9925479984431
200011,2496.9561748937635
200012,5753.887310576602
200013,7601.623746348851
200014,1513.2468442146742
200015,260.79251856465163
200016,1833.7417087503138
200017,8278.967137580306
200018,7254.835115496711
200019,531.6304942429482
200020,24541.336412889024
200021,6820.266663780864
200022,1885.6778722836987
200023,1603.6174297679586
200024,785.7689092942107
200025,7921.405850047656
200026,374.199526482465
200027,12535.586599534705
200028,4033.057561573125
200029,7663.49511530131
200030,17301.209093014724
200031,12826.821192149819
200032,554.3524880465307
200033,13966.07867357679
200034,670.5115500694924
200035,1913.1580106713345
200036,15185.75010219949
200037,5422.364076100999
200038,1550.9780308258028
200039,335.31935782183314
200040,581.6572790139372
200041,23961.655650199507
200042,425.5341139388975
200043,6798.4598130981485
200044,19202.90122999326
200045,507.9594881152665
200046,15878.117783489814
200047,17077.065773575952
200048,2039.316321945142
200049,3036.1897579690694
200050,427.51599223815197
200051,4589.858481722871
200052,2680.017584431303
200053,477.9926567342278
200054,13608.914670457665
200055,10858.138855970947
200056,6408.987998283049
200057,3328.007887259686
200058,1015.4101176219777
200059,5164.749158952471
200060,8040.733304311591
200061,1226.1359495823601
200062,5323.4011289459095
200063,8317.077620521794
200064,1334.6353622534807
200065,1620.2912535955772
200066,480.3053915819441
200067,10471.514323982701
200068,173.0872716200124
200069,18520.15408186061
200070,8485.97646181719
200071,282.38898074149745
200072,6421.562948245107
200073,16028.230646462856
200074,4364.194370040342
200075,11865.137407510327
200076,3103.211667197561
200077,393.23253284921014
200078,376.0198620429699
200079,3108.6126289377657
200080,3279.2011399493563
200081,2041.1271555537755
200082,3954.646222247667
200083,419.64459738885546
200084,1236.5392897111615
200085,1220.306887838237
200086,6733.559961740343
200087,3439.1952400924056
200088,2622.170984896123
200089,39207.90230004813
200090,2641.6299655170833
200091,194.31226205311262
200092,1637.9305628293696
200093,16882.025089324827
200094,6684.42301892226
200095,5903.019821157786
200096,2502.685965122333
200097,1192.9937090138922
200098,440.26829362628234
200099,24088.135471777867
200100,21188.221564182546
200101,7236.261917685449
200102,1783.9219922687726
200103,10638.571266266028
200104,5470.911215512976
200105,4293.037050345233
200106,8337.184006364594
200107,2088.6953678909117
200108,13871.55077125772
200109,7943.249705880554
200110,789.1748677058572
200111,1857.7372792345373
200112,1815.1576492856732
200113,424.0697733194339
200114,2172.371008476418
